date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:11	133709/133709	---M-Z	200	added ('OK')	text/html	etag:%2220a4d-660bc275-60c23c340ff436b6;gz%22	https://html.hixstudio.net/listbnb-prv/listbnb/index.html	C:/My%20Web%20Sites/list/html.hixstudio.net/listbnb-prv/listbnb/index.html	(from )
13:38:11	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62b46697-6cfecb0e4ebe319b;gz%22	https://html.hixstudio.net/robots.txt		(from )
13:38:12	2513/2513	---M--	200	added ('OK')	image/png	etag:%229d1-65db04d3-6e6d833897b5575;;;%22	https://html.hixstudio.net/listbnb-prv/listbnb/assets/img/logo/favicon.png	C:/My%20Web%20Sites/list/html.hixstudio.net/listbnb-prv/listbnb/assets/img/logo/favicon.png	(from https://html.hixstudio.net/listbnb-prv/listbnb/index.html)
13:38:12	69342/69342	---M-Z	200	added ('OK')	text/css	etag:%2210ede-65db04d3-ec2185907885755;gz%22	https://html.hixstudio.net/listbnb-prv/listbnb/assets/css/animate.css	C:/My%20Web%20Sites/list/html.hixstudio.net/listbnb-prv/listbnb/assets/css/animate.css	(from https://html.hixstudio.net/listbnb-prv/listbnb/index.html)
13:38:12	194901/194901	---M-Z	200	added ('OK')	text/css	etag:%222f955-65db04d3-5262decfd4a864f9;gz%22	https://html.hixstudio.net/listbnb-prv/listbnb/assets/css/bootstrap.css	C:/My%20Web%20Sites/list/html.hixstudio.net/listbnb-prv/listbnb/assets/css/bootstrap.css	(from https://html.hixstudio.net/listbnb-prv/listbnb/index.html)
13:38:13	15806/15806	---M-Z	200	added ('OK')	text/css	etag:%223dbe-65db04d3-997e01b498c9f3ab;gz%22	https://html.hixstudio.net/listbnb-prv/listbnb/assets/css/swiper-bundle.css	C:/My%20Web%20Sites/list/html.hixstudio.net/listbnb-prv/listbnb/assets/css/swiper-bundle.css	(from https://html.hixstudio.net/listbnb-prv/listbnb/index.html)
13:38:13	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-65db04d3-63b31c4ea4ff8d92;gz%22	https://html.hixstudio.net/listbnb-prv/listbnb/assets/css/slick.css	C:/My%20Web%20Sites/list/html.hixstudio.net/listbnb-prv/listbnb/assets/css/slick.css	(from https://html.hixstudio.net/listbnb-prv/listbnb/index.html)
13:38:13	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-65db04d3-1e3856e78b9618d7;gz%22	https://html.hixstudio.net/listbnb-prv/listbnb/assets/css/magnific-popup.css	C:/My%20Web%20Sites/list/html.hixstudio.net/listbnb-prv/listbnb/assets/css/magnific-popup.css	(from https://html.hixstudio.net/listbnb-prv/listbnb/index.html)
13:38:14	8364/8364	---M-Z	200	added ('OK')	text/css	etag:%2220ac-65db04d3-1a235d407f21678b;gz%22	https://html.hixstudio.net/listbnb-prv/listbnb/assets/css/spacing.css	C:/My%20Web%20Sites/list/html.hixstudio.net/listbnb-prv/listbnb/assets/css/spacing.css	(from https://html.hixstudio.net/listbnb-prv/listbnb/index.html)
13:38:14	465639/465639	---M-Z	200	added ('OK')	text/css	etag:%2271ae7-65db04d3-788caa465ef44f6e;gz%22	https://html.hixstudio.net/listbnb-prv/listbnb/assets/css/font-awesome-pro.css	C:/My%20Web%20Sites/list/html.hixstudio.net/listbnb-prv/listbnb/assets/css/font-awesome-pro.css	(from https://html.hixstudio.net/listbnb-prv/listbnb/index.html)
